"city_id","country_id","state_id","name","population"
"ee16dfaa-7ff4-4445-b8cb-b63a81c2d6dd","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Blue Springs town",81
"3cb91ad2-028a-441c-a07a-6e6c50612fe2","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Boaz city",10161
"5de00bf5-1779-4688-a17a-c50c86531eb4","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Boligee town",297
"900a6fd8-c95f-47b5-8764-f521e2877446","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Bon Air town",168
"7a429d58-5996-4ba2-9999-20e675d53d1f","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Brantley town",807
"a86d9428-fad7-4c50-88bb-541fb941e2a5","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Brent city",2977
"f5c0eb46-72b5-412e-aede-d1968e03dca2","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Brewton city",5261
"406e0e8c-6598-4d65-92eb-0ba4aac45303","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Bridgeport city",2257
"402109f0-c2ab-4279-9ded-0caa0b86f9d0","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Brighton city",2299
"524425c0-6916-4195-bff1-b50fb314e874","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Brilliant town",833
"3eaf4b7f-7c54-44d3-836a-83685bebbac2","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Brookside town",1232
"3306d437-6ebc-456e-9ef3-de5aeb1a3f1b","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Brookwood town",2473
"ca7ecaa2-62aa-43db-90ae-cf7b1aaf9fcb","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Brundidge city",2070
"b9b35601-89a3-424f-85b9-6f5fd6a32075","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Butler town",1870
"66270f74-60b1-45f9-9bb7-037354b2145c","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Calera city",17414
"1ff79a75-1e36-4d5e-973a-8e1dfa2ecd8d","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Camden city",1832
"d08a7eca-fe8a-4e75-9b1f-4e78b6c43d80","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Camp Hill town",990
"13943db4-e25f-4e35-b033-a7c9e46b7786","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Carbon Hill city",1727
"90668182-ad2f-4a36-b7e7-a8bc5c1fb432","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Cardiff town",52
"26ee4e1d-c6ce-4fa5-b647-81c1fce70caf","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Carolina town",290
"1fe9d58f-fe22-43d6-8c15-719d9672bd9e","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Carrollton town",998
"6bbdbcfb-b05d-4fc1-aaa8-433e0ff80bef","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Castleberry town",480
"61b04d2d-a3d7-4e79-8e51-dcdd7a28c836","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Cedar Bluff town",1864
"2d1906c3-c439-4c4d-984a-978144084fac","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Center Point city",16137
"35da0686-8537-42ff-9043-ec6f7437f5fc","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Centre city",3528
"5a73100a-db2b-45bc-b263-fdc0dd8c05f9","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Centreville city",2792
"cf06b3d9-b6f6-4c36-8265-fdfa8b36579a","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Chatom town",1039
"214b4376-ad08-428e-8e42-48e241c94f45","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Chelsea city",15653
"a17a69ca-682f-4e53-811b-fc00e6ac0890","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Cherokee town",963
"7a0daa5d-7178-45a5-9c3f-924baabff15b","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Chickasaw city",6395
"e04cc648-1f50-48e0-a8ae-703707ed6f8d","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Childersburg city",4689
"2d678b3c-ecf7-4d9f-b39b-7af5a4a1ca80","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Citronelle city",3924
"9042d8ce-a987-42e2-821c-044a68ea99cb","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Clanton city",8762
"62fc736f-50b3-44b7-a6fd-a2cc2463c2c9","d4153ed2-91e6-40da-a3c5-1de8a6d0119c","4b62177f-7eb0-448e-86c1-3e168e44cc29","Clay city",10311
